NAME                 TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)             AGE
campus-ai            ClusterIP   10.96.157.126   <none>        8006/TCP            9m4s
campus-attendance    ClusterIP   10.96.19.25     <none>        8005/TCP            9m5s
campus-auth          ClusterIP   10.96.73.132    <none>        8001/TCP            9m7s
campus-frontend      NodePort    10.96.217.80    <none>        80:30081/TCP        9m3s
campus-gateway       NodePort    10.96.131.157   <none>        8000:30080/TCP      9m8s
campus-mysql         ClusterIP   10.96.148.146   <none>        3306/TCP            9m48s
campus-nacos         ClusterIP   10.96.38.198    <none>        8848/TCP,9848/TCP   9m46s
campus-redis         ClusterIP   10.96.213.128   <none>        6379/TCP            9m47s
campus-reservation   ClusterIP   10.96.107.76    <none>        8004/TCP            9m6s
campus-room          ClusterIP   10.96.53.193    <none>        8003/TCP            9m6s
campus-user          ClusterIP   10.96.33.224    <none>        8002/TCP            9m7s
